,work_id,title_cc,author_cc,year,word_count,not_before,not_after,is_earlymodern,title_lem,author_dates,author_lem,author_viaf,author_viaf_id,edition,editor,publisher,pub_place,pub_date,series_title,series_id,source,prelemmatized,notes,author_wd
0,10,"De facto Ungarie magne1236
",Riccardus OFM,fl.1236,3340,1236.0,1236.0,False,De facto Ungarie magne 1236,fl.1236,Riccardus OFM,,,"critical edition, apparatus not encoded",Drei Texte zur Geschichte der Ungarn und Mongolen: Die Missionsreisen des fr. Julianus 0. P. ins Uralgebiet (1234/5) und nach Rußland (1237) und der Bericht des Erzbischofs Peter über die Tartaren Von Heinrich Dörrie. Automatic OCR and formatting by Philipp Roelli,"Nachrichten der Akademie der Wissenschaften in Göttingen, I. philologisch-historische Klasse, Jahrgang 1956 Nr. 6, VANDENHOECK & RUPRECHT",Göttingen,1956,Itinera,RicODM.FaUngMa,,True,,
1,100,De trinitate,Novatianus,fl. 260,44792,260.0,260.0,False,De trinitate,fl. 260,Novatianus,262938015,262938015,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 3",Novati.DeTri,Patrologia Latina,True,,
2,10000,De quadratura circuli,Franco Leodiensis ,,1648,,,False,De quadratura circuli,,Franco Leodiensis,59442530,59442530,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",FraLeo.DeQuCi,Patrologia Latina,True,,
3,10001,Epistola ad Berengarium,Frollandus Sylvanectensis ,,518,,,False,Epistola ad Berengarium,,Frollandus Sylvanectensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",FroSyl.EpAdBe2,Patrologia Latina,True,,
4,10002,Diplomata,Gervasius Remensis1055-1067 ,1055-1067,1532,1055.0,1067.0,False,Diplomata,1055-1067,Gervasius Remensis,365599,365599,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",GerRem.Diplom17,Patrologia Latina,True,,
5,10003,Epistola ad Valcherum,Gozechinus Scholasticus,fl. 1059,26012,1059.0,1059.0,False,Epistola ad Valcherum,fl. 1059,Gozechinus Scholasticus,28527375,28527375,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",GozSch.EpAdVa3,Patrologia Latina,True,,
6,10004,Carmen de conflictu ovis et lini,Hermannus Contractus1013-1054 ,1013-1054,8816,1013.0,1054.0,False,Carmen de conflictu ovis et lini,1013-1054,Hermannus Contractus,51879186,51879186,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",HerCon.CaDeCoO,Patrologia Latina,True,,
7,10005,Chronicon,Hermannus Contractus1013-1054 ,1013-1054,161493,1013.0,1054.0,False,Chronicon,1013-1054,Hermannus Contractus,51879186,51879186,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",HerCon.Chroni25,Patrologia Latina,True,,
8,10006,De mensura astrolabii,Hermannus Contractus1013-1054 ,1013-1054,9363,1013.0,1054.0,False,De mensura astrolabii,1013-1054,Hermannus Contractus,51879186,51879186,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",HerCon.DeMeAs,Patrologia Latina,True,,
9,10007,De utilitatibus astrolabii,Hermannus Contractus1013-1054 ,1013-1054,24633,1013.0,1054.0,False,De utilitatibus astrolabii,1013-1054,Hermannus Contractus,51879186,51879186,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",HerCon.DeUtAs,Patrologia Latina,True,,
10,10008,Opuscula musica,Hermannus Contractus1013-1054 ,1013-1054,20024,1013.0,1054.0,False,Opuscula musica,1013-1054,Hermannus Contractus,51879186,51879186,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",HerCon.OpuMus,Patrologia Latina,True,,
11,10009,Sequentia de B. Maria Virgine,Hermannus Contractus1013-1054 ,1013-1054,775,1013.0,1054.0,False,Sequentia de B. Maria Virgine,1013-1054,Hermannus Contractus,51879186,51879186,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",HerCon.SeDeBMa,Patrologia Latina,True,,
12,10010,Epistola ad Bartholomaeum Turonensem,Hugo II Nivernensis ,,256,,,False,Epistola ad Bartholomaeum Turonensem,,Hugo II Nivernensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",HuIiNi.EpAdBaT,Patrologia Latina,True,,
13,10011,Adversus Graecorum calumnias,Humbertus Silvae Candidae1010-1061 ,1010-1061,54262,1010.0,1061.0,False,Adversus Graecorum calumnias,1010-1061,Humbertus Silvae Candidae,288467624,288467624,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",HuSiCa.AdGrCa,Patrologia Latina,True,,
14,10012,Adversus Simoniacos,Humbertus Silvae Candidae1010-1061 ,1010-1061,248673,1010.0,1061.0,False,,,,,,,,,,,,,,,,
15,10013,Commemoratio eorum quae gesserunt apocrisarii,Humbertus Silvae Candidae1010-1061 ,1010-1061,3100,1010.0,1061.0,False,Commemoratio eorum quae gesserunt apocrisarii,1010-1061,Humbertus Silvae Candidae,288467624,288467624,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",HuSiCa.CoEoQuG,Patrologia Latina,True,,
16,10014,Contra Nicetam,Humbertus Silvae Candidae1010-1061 ,1010-1061,20128,1010.0,1061.0,False,Contra Nicetam,1010-1061,Humbertus Silvae Candidae,288467624,288467624,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",HuSiCa.ConNic,Patrologia Latina,True,,
17,10015,Epistola ad Leonem IX,Joannes Fiscamnensis1028-1079 ,1028-1079,1286,1028.0,1079.0,False,Epistola ad Leonem IX,1028-1079,Joannes Fiscamnensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",JoaFis.EpAdLeI2,Patrologia Latina,True,,
18,10016,Querimonia contra Farfenses,Joannes Sabinensis1044-1054 ,1044-1054,914,1044.0,1054.0,False,Querimonia contra Farfenses,1044-1054,Joannes Sabinensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",JoaSab.QuCoFa,Patrologia Latina,True,,
19,10017,Donatio Atinensis ecclesiae,Leo Atinensis1044-1089 ,1044-1089,1210,1044.0,1089.0,False,Donatio Atinensis ecclesiae,1044-1089,Leo Atinensis,37271791,37271791,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",LeoAti.DoAtEc,Patrologia Latina,True,,
20,10018,Sermo de passione Marci,Leo Atinensis1044-1089 ,1044-1089,1266,1044.0,1089.0,False,Sermo de passione Marci,1044-1089,Leo Atinensis,37271791,37271791,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",LeoAti.SeDePaM,Patrologia Latina,True,,
21,10019,Sermo in octava S. Marci,Leo Atinensis1044-1089 ,1044-1089,2288,1044.0,1089.0,False,Sermo in octava S. Marci,1044-1089,Leo Atinensis,37271791,37271791,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",LeoAti.SeInOcS,Patrologia Latina,True,,
22,10020,Translatio corporis Marci pontificis,Leo Atinensis1044-1089 ,1044-1089,5548,1044.0,1089.0,False,Translatio corporis Marci pontificis,1044-1089,Leo Atinensis,37271791,37271791,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",LeoAti.TrCoMaP,Patrologia Latina,True,,
23,10021,De conflictu vitiorum atque virtutum,Leo IX ,,21000,,,False,De conflictu vitiorum atque virtutum,,Leo IX,12317090,12317090,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",LeoIx.DeCoViA,Patrologia Latina,True,,
24,10022,Epistolae et decreta,Leo IX ,,153975,,,False,Epistolae et decreta,,Leo IX,12317090,12317090,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",LeoIx.EpEtDe28,Patrologia Latina,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs'],
25,10023,Oratio ad Adelbertum Comitem,Leo IX ,,2678,,,False,Oratio ad Adelbertum Comitem,,Leo IX,12317090,12317090,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",LeoIx.OrAdAdC,Patrologia Latina,True,,
26,10024,Chartae,Leodegarius Viennensis1037-1067 ,1037-1067,3006,1037.0,1067.0,False,Chartae,1037-1067,Leodegarius Viennensis,76753090,76753090,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",LeoVie.Charta11,Patrologia Latina,True,,Q85512445
27,10025,Epistola ad episcopum Ebroicensem,Maurilius Rothomagensis; Joannes Fiscamnensis ,,246,,,False,Epistola ad episcopum Ebroicensem,,Maurilius Rothomagensis; Joannes Fiscamnensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",MaRoJoF.EpAdEpE,Patrologia Latina,True,,
