title,author_dates,author,author_viaf,author_viaf_id,edition,editor,publisher,pub_place,pub_date,series_title,series_id,source,work_id,prelemmatized,notes
De ortu et obitu Patrum,565-636,Isidorus Hispalensis,http://viaf.org/viaf/803890,803890,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 83",IsiHis.DeOrEtO,Patrologia Latina,8209,True,
De omnibus Sanctis,-1216,Innocentius III,http://viaf.org/viaf/16017787,16017787,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 217",InnIii.DeOmSa,Patrologia Latina,11823,True,
Epistolae et privilegia,,Gregorius V,http://viaf.org/viaf/78778356,78778356,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 137",GreV.EpEtPr15,Patrologia Latina,9537,True,
Elegiae,c.55BC-c.19BC,Tibullus,http://viaf.org/viaf/100219266,100219266,"eclectic edition, apparatus not encoded",J. P. Postgate,Scriptorum classicorum bibliotheca Oxoniensis,,1915,,Tibull.Elegiae,,12666,True,
Gesta Innocentii III,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 214",AucInc.GeInIi,Patrologia Latina,11811,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14817,True,
Chronicon Claraevallense,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 185",AucInc.ChrCla,Patrologia Latina,11332,True,
Adversus Marcionem,,Auctor incertus (Tertullianus?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 2",AuInTe.AdvMar2,Patrologia Latina,52,True,
Quaestiones Hebraicae in Genesim,340-420,Hieronymus Stridonensis,http://viaf.org/viaf/95147024,95147024,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 23",HieStr.QuHeInG,Patrologia Latina,7160,True,
Gratiarum Actio,309-394,Ausonius Burdigalensis,http://viaf.org/viaf/109786483,109786483,"based on critical edition, no apparatus, online edition",Source with summary and bibliography,digilibLT,Vercelli,2011,digilibLT,Ausoni.GraActi,,14403,True,
Epistola rationalibus Apulis,fl.c.1275,Richardus de Montenigro,,,,Print edition by: F. Delle Donne,SISMEL. Edizioni del Galluzzo,Firenze,2007,,RicMon.EpiRatApul,,15478,True,"['Genere: Epistolografia', 'Tipo: Fonti Letterarie', 'Note: Parole: 226\n\t\t\t\t\tCaratteri (spazi esclusi): 1489\n\t\t\t\t\tVA', 'Livello di codifica: 1']"
Expositio L. Annaei Senecae Agamemnonis,c.1258-1328,Nicola Trevet,http://viaf.org/viaf/64000382,64000382,,,Biblioteca Italiana,Roma,2005,Collezione BibIt,,,13075,True,
Ordo excommunicationis,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucInc.OrdExc,Patrologia Latina,9643,True,
Regula,,Leandrus Hispalensis,http://viaf.org/viaf/268854049,268854049,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 72",LeaHis.Regula2,Patrologia Latina,7970,True,
De argumentis lunae,,Auctor incertus (Beda?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 90",AuInBe.DeArLu,Patrologia Latina,8402,True,
Vita S. Richarii,,Angelrannus S. Richarii Centulensis,http://viaf.org/viaf/76706732,76706732,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 141",AnSRiCe.ViSRi2,Patrologia Latina,9845,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Vita Ludovici regis VI,,Sugerius S. Dionysii,http://viaf.org/viaf/96531148,96531148,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 186",SuSDi.ViLuReV,Patrologia Latina,11374,True,
Acta synodi Aquensis,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucVar.AcSyAq,Patrologia Latina,9676,True,
Ad Ioannem Sabaudium paramythia,1447-1516,"Mantovano, Battista",http://viaf.org/viaf/27059664,27059664,"critical edition, apparatus not encoded","L. Cupaerus, 1576",,,,Musisque Deoque 2007,ManBat.AdSapa,,19668,True,
Regula secunda,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 103",AucInc.RegSec2,Patrologia Latina,8742,True,
Testimonia veterum,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 87",AucVar.TesVet3,Patrologia Latina,8257,True,
Juramentum,672-754,Bonifacius Moguntinus,http://viaf.org/viaf/18013220,18013220,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 89",BonMog.Jurame,Patrologia Latina,8368,True,
De monogamia,150-230,Tertullianus,http://viaf.org/viaf/100226395,100226395,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 2",Tertul.DeMon,Patrologia Latina,72,True,
Libellus de symoniacis,1048-1123,Bruno Signinus,https://viaf.org/viaf/17378860,17378860,"critical edition, no apparatus",Ernst Dümmler,Hahn,Hannover,1892,,BruSig.LiDeSym,,16844,True,
Fragmentum disputationis adversus Graecos,,Auctor incertus (Humbertus Silvae Candidae?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",AuInHuS.FrDiAdG,Patrologia Latina,9987,True,
Kalendarium Vallumbrosanum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucInc.KalVal,Patrologia Latina,9621,True,
Vita S. Lamberti,,Stephanus Leodiensis,http://viaf.org/viaf/281325874,281325874,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 132",SteLeo.ViSLa,Patrologia Latina,9400,True,
Epistolae et canones,,Gregorius II,http://viaf.org/viaf/1996852,1996852,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 89",GreIi.EpEtCa,Patrologia Latina,8386,True,
Commentaria,,Gislebertus Porretanus,http://viaf.org/viaf/100177951,100177951,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 64",GisPor.Commen5,Patrologia Latina,7793,True,
Vita S. Hilarii,,Fortunatus Pictaviensis,http://viaf.org/viaf/316401002,316401002,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 9",ForPic.ViSHi,Patrologia Latina,6861,True,
Prologus in vitam S. Romani,,Gerardus S. Medardi Suessionensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",GeSMeSu.PrInViS,Patrologia Latina,9713,True,
Esercitazioni latine (1809),1798-1837,Giacomo Leopardi,http://viaf.org/viaf/12311353,12311353,,,Biblioteca Italiana,Roma,2004,Collezione BibIt,,,13072,True,
Epistolae Nicolai Clarevallensis,fl.1160,Nicolaus Claraevallensis,http://viaf.org/viaf/160190089,160190089,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 196",NicCla.EpNiCl,Patrologia Latina,11524,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Promotus Archimedes seu De variis corporum generibus gravitate et magnitudine comparatis,1566-1626,"Ghetaldus, Marinus",http://viaf.org/viaf/55057189,55057189,"early modern edition, no apparatus",Neven Jovanović,,,"Kolovoza
            2012",,GheMar.PrArSeu,,13427,True,
Divinarum institutionum liber VI,250-325,Lactantius,http://viaf.org/viaf/100198064,100198064,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 6",Lactan.DiInLiV2,Patrologia Latina,6812,True,
Epistolae,c.1118–1170,Thomas Cantuariensis,http://viaf.org/viaf/84487782,84487782,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 190",ThoCan.Episto320,Patrologia Latina,11451,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Epistola ad proceres Anglorum,,Canutus rex,http://viaf.org/viaf/268401625,268401625,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 151",CanRex.EpAdPrA,Patrologia Latina,10435,True,
De prudenti dispensatione ecclesiasticarum sanctionum,1054-1100,Bernaldus Constantiensis,http://viaf.org/viaf/298713537,298713537,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 148",BerCon.DePrDiE,Patrologia Latina,10249,True,
Liber sententiarum,1128-1203,Alanus de Insulis,http://viaf.org/viaf/72187470,72187470,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 210",AlDeIn.LibSen3,Patrologia Latina,11765,True,
Expositio libri Boetii De ebdomadibus,1225-1274,Thomas Aquinas,http://viaf.org/viaf/264344179,264344179,"critical edition, apparatus not encoded",,Textum Leoninum,Romae,1954,Corpus Thomisticum,ThomAqu.SupHebd,,12000,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,15006,True,
Glossae Latino-barbaricae Rabani,808-849,Walafridus Strabo,http://viaf.org/viaf/47555113,47555113,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 112",WalStr.GlLaRa,Patrologia Latina,8943,True,
Testimonia,fl. 500,Gennadius Massiliensis,http://viaf.org/viaf/27422228,27422228,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 103",GenMas.Testim32,Patrologia Latina,8751,True,
Epistola Pauli ad Timotheum II,340-420,Hieronymus Stridonensis,http://viaf.org/viaf/95147024,95147024,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 29",HieStr.EpPaAdT4,Patrologia Latina,7241,True,
De perfectione monachorum,1007-1072,Petrus Damianus,http://viaf.org/viaf/50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 145",PetDam.DePeMo,Patrologia Latina,10102,True,
Cosmographia,fl.c.700,Aeticus Ister,https://viaf.org/viaf/66550784,66550784,"critical edition, no apparatus","Prinz, Otto",Monumenta Germaniae Historica,München,1993,,AetIst.Cosmog,,16737,True,
Appendix IV,,Melchiades papa,http://viaf.org/viaf/8182724,8182724,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 7",MelPap.AppIv,Patrologia Latina,6826,True,
Primae redactiones Super De Trinitate,1225-1274,Thomas Aquinas,http://viaf.org/viaf/264344179,264344179,"critical edition, apparatus not encoded",,Textum Leoninum,Romae,1965,Corpus Thomisticum,ThomAqu.SupDeTr,,12016,True,
Statuta,1024-1109,Hugo Cluniacensis,http://viaf.org/viaf/34507211,34507211,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 159",HugClu.Statut6,Patrologia Latina,10676,True,
De Spiritu Sancto,340-397,Ambrosius Mediolanensis,http://viaf.org/viaf/100227669,100227669,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 16",AmbMed.DeSpSa,Patrologia Latina,6967,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
De incarnatione Christi,,Hermannus S. Martini Tornacensis,http://viaf.org/viaf/264697612,264697612,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 180",HeSMaTo.DeInCh3,Patrologia Latina,11172,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14946,True,
Apologeticus ad Hugonem et Rodbertum reges Francorum,c.945–1004,Abbo Floriacensis,http://viaf.org/viaf/9966678,9966678,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 139",AbbFlo.ApAdHuE,Patrologia Latina,9742,True,
Carmina,1505-1573,Michaelis Hospitalis,http://viaf.org/viaf/100198491,100198491,"critical edition, apparatus not encoded","Text edited under the direction of Perrine Galand (EPHE) and Loris Petris (Univ. Neuchâtel), with the collaboration of David Amherdt and Laure Chappuis-Sandoz, in a project funded by the Swiss National Science Foundation ( www.snf.ch ) and the University of Neuchâtel ( www.unine.ch/micheldelhospital ).",Droz,Genève,2014-2017,Poetica,MicHos.Carmina,,19834,True,
Oratio habita in funere praestantissimi oratoris et poetae Guarinis Veronensis,-1597,Ludovico Carbone,http://viaf.org/viaf/7517943,7517943,,,Biblioteca Italiana,Roma,2003,Collezione BibIt,,,13100,True,
De passione B. Emmerammi martyris,fl.750,Constans sacerdos,http://viaf.org/viaf/76751797,76751797,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 96",ConSac.DePaBEm,Patrologia Latina,8570,True,
Epistola ad Joannem Hierosolymorum,,Anastasius I,http://viaf.org/viaf/5736378,5736378,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 48",AnaI.EpAdJoH,Patrologia Latina,7514,True,
Operum omnium tomus I,1729-1799,"Skerletz, Nicolaus",,,"early modern edition, no apparatus",Neven Jovanović,,,kolovoz 2008,,SkeNic.OpOmTo1,,13387,True,
De vita monastica,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 184",AucInc.DeViMo,Patrologia Latina,11290,True,
Documenta historica,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 190",AucVar.DocHis,Patrologia Latina,11437,True,
In Joannis evangelium tractatus CXXIV,354-430,Augustinus Hipponensis,http://viaf.org/viaf/66806872,66806872,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 35",AugHip.InJoEvT,Patrologia Latina,7323,True,
Alcon,1509-1577,"Cruceio, Annibale",http://viaf.org/viaf/54962011,54962011,"critical edition, apparatus not encoded","P. Simoni, 1972",,,,Musisque Deoque 2007,CruAnn.Alco,,19679,True,
Vita S. Dunstani,,Osbernus Cantuariensis,http://viaf.org/viaf/66569522,66569522,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 137",OsbCan.ViSDu,Patrologia Latina,9569,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
